lambda,Mu,Number of Servers,System Capacity,Simulation Time,Total Messages,Dropped Messages,Avg Messages in System,Avg Messages in Queue,Average Waiting Time in Queue,Avg System Time
4,8,1,100,100,965,128,9.65,9.525,2.38125,2.4125
6,8,1,100,100,983,102,9.83,9.705,1.6175,1.63833
8,8,1,100,100,1087,87,10.87,10.745,1.34312,1.35875
12,8,1,100,100,1165,51,11.65,11.525,0.960417,0.970833
4,8,1,4,100,885,225,8.85,8.725,2.18125,2.2125
6,8,1,4,100,927,202,9.27,9.145,1.52417,1.545
8,8,1,4,100,995,184,9.95,9.825,1.22812,1.24375
12,8,1,4,100,1109,157,11.09,10.965,0.91375,0.924167
4,8,1,8,100,855,214,8.55,8.425,2.10625,2.1375
6,8,1,8,100,967,192,9.67,9.545,1.59083,1.61167
8,8,1,8,100,971,177,9.71,9.585,1.19813,1.21375
12,8,1,8,100,1113,159,11.13,11.005,0.917083,0.9275
4,8,3,4,100,208,0,2.08,1.705,0.42625,0.52
6,8,3,4,100,247,0,2.47,2.095,0.349167,0.411667
8,8,3,4,100,302,0,3.02,2.645,0.330625,0.3775
12,8,3,4,100,392,0,3.92,3.545,0.295417,0.326667
